"Employment status (a) by labour force region, Queensland, 1999–00 to 2018–19 (b)(c)(d)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Labour force region,Employment status,Financial year,,,,,,,,,,,,,,,,,,,
,,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19
, ,— persons —,,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Logan - Beaudesert SA4,Full-time,"80,300","79,300","80,400","86,100","89,600","91,000","94,400","102,500","105,600","107,100","107,900","113,100","108,200","108,100","94,400","90,800","97,100","103,900","107,900","112,100"
,Part-time,"27,700","29,500","29,600","28,800","31,400","37,600","39,100","38,100","34,800","37,400","36,900","37,700","37,600","38,500","34,700","33,900","34,300","42,600","49,600","42,800"
,Total,"108,000","108,900","110,000","114,900","121,000","128,600","133,500","140,600","140,400","144,600","144,800","150,800","145,800","146,600","129,100","124,700","131,400","146,500","157,400","154,900"
,,,,,,,,,,,,,,,,,,,,,
Mackay - Isaac - Whitsunday SA4,Full-time,"50,400","49,500","51,700","51,600","52,100","56,100","62,800","67,600","70,300","74,500","70,900","69,100","73,700","78,900","76,000","67,000","65,800","67,900","73,200","67,700"
,Part-time,"17,200","14,200","15,400","16,000","19,100","19,500","21,000","18,800","17,500","21,300","21,800","21,900","20,500","21,200","23,800","25,400","22,400","25,400","26,100","18,900"
,Total,"67,600","63,700","67,200","67,600","71,200","75,700","83,800","86,400","87,800","95,800","92,700","91,100","94,200","100,000","99,800","92,400","88,200","93,300","99,300","86,600"
,,,,,,,,,,,,,,,,,,,,,
Moreton Bay - North SA4,Full-time,"48,000","42,700","46,400","46,500","53,700","57,100","62,400","65,500","66,500","63,300","67,700","69,300","68,600","68,100","68,700","76,500","76,400","74,700","74,400","71,800"
,Part-time,"17,700","19,700","19,200","23,400","23,500","24,200","23,800","24,000","27,700","26,500","28,900","27,400","28,100","26,800","32,700","33,200","33,700","32,800","38,700","34,100"
,Total,"65,700","62,400","65,500","69,900","77,100","81,200","86,200","89,600","94,200","89,800","96,600","96,700","96,700","94,900","101,400","109,800","110,100","107,500","113,100","105,900"
,,,,,,,,,,,,,,,,,,,,,
Moreton Bay - South SA4,Full-time,"41,700","44,800","47,000","50,700","48,600","51,400","56,600","57,800","60,400","58,600","64,000","63,000","66,300","71,300","71,400","71,500","71,300","71,400","74,700","83,200"
,Part-time,"15,900","16,800","18,700","18,200","18,000","17,700","20,200","22,700","25,400","22,900","24,500","27,700","25,100","27,200","27,400","28,900","33,400","33,200","33,100","32,600"
,Total,"57,600","61,600","65,700","68,800","66,600","69,100","76,800","80,500","85,700","81,500","88,500","90,700","91,400","98,500","98,800","100,400","104,700","104,600","107,800","115,700"
,,,,,,,,,,,,,,,,,,,,,
Queensland - Outback SA4,Full-time,"37,300","33,100","33,000","32,600","28,700","32,600","34,400","36,600","33,400","30,300","34,000","33,900","36,900","32,200","40,300","39,400","29,900","23,900","26,600","28,400"
,Part-time,"6,300","9,500","11,800","12,000","12,600","10,600","9,500","7,000","10,400","9,500","6,900","7,500","8,200","8,200","7,800","10,100","4,100","8,000","6,100","7,100"
,Total,"43,700","42,600","44,800","44,600","41,300","43,200","43,900","43,600","43,800","39,800","40,900","41,500","45,100","40,300","48,200","49,600","33,900","31,900","32,700","35,500"
,,,,,,,,,,,,,,,,,,,,,
